"Accepted Symbol","Synonym Symbol","Scientific Name"
"RALO2","","Ranunculus longirostris"
"RALO2","RASU","Ranunculus subrigidus"
"RAMI2","","Ranunculus micranthus"
"RAPE2","","Ranunculus pensylvanicus"
"RARH","","Ranunculus rhomboideus"
"RASC3","","Ranunculus sceleratus"
"RATR","","Ranunculus trichophyllus"
"RATRT","","Ranunculus trichophyllus var. trichophyllus"
"RATRT","RATRC2","Ranunculus trichophyllus var. calvescens"
"RAPI","","Ratibida pinnata"
"RHAL","","Rhamnus alnifolia"
"RHMA","","Rhexia mariana"
"RHMAM2","","Rhexia mariana var. mariana"
"RHVI","","Rhexia virginica"
"RHCA6","","Rhododendron canadense"
"RHMA4","","Rhododendron maximum"
"RHPE4","","Rhododendron periclymenoides"
"RHPE4","RHNU3","Rhododendron nudiflorum"
"RHPR","","Rhododendron prinophyllum"
"RHVI2","","Rhododendron viscosum"
"RHAR4","","Rhus aromatica"
"RHAL3","","Rhynchospora alba"
"RHCA11","","Rhynchospora capillacea"
"RHFU","","Rhynchospora fusca"
"RHIN7","","Rhynchospora inundata"
"RHMA6","","Rhynchospora macrostachya"
"RHNI","","Rhynchospora nitens"
"RHNI","PSNI","Psilocarya nitens"
"RHSC5","","Rhynchospora scirpoides"
"RHSC5","PSSC2","Psilocarya scirpoides"
"RHTO4","","Rhynchospora torreyana"
"RIAM2","","Ribes americanum"
"RIAUV","","Ribes aureum var. villosum"
"RIAUV","RIOD","Ribes odoratum"
"RIGL","","Ribes glandulosum"
"RIHI","","Ribes hirtellum"
"RILA","","Ribes lacustre"
"RIRO2","","Ribes rotundifolium"
"RITR","","Ribes triste"
"ROPS","","Robinia pseudoacacia"
"ROAC","","Rosa acicularis"
"ROACS","","Rosa acicularis ssp. sayi"
"ROAR3","","Rosa arkansana"
"ROBL","","Rosa blanda"
"RONI","","Rosa nitida"
"RORA","","Rotala ramosior"
"RUAL9","","Rubus alumnus"
"RUAR7","","Rubus arenicola"
"RUAR2","","Rubus argutus"
"RUCA16","","Rubus canadensis"
"RUCU","","Rubus cuneifolius"
"RUFL","","Rubus flagellaris"
"RUFL","RUEN","Rubus enslenii"
"RUOD","","Rubus odoratus"
"RUPU","","Rubus pubescens"
"RUSE","","Rubus setosus"
"RUFU2","","Rudbeckia fulgida"
"RUHIH","","Rudbeckia hirta var. hirta"
"RULA3","","Rudbeckia laciniata"
"RUSU","","Rudbeckia subtomentosa"
"RUTR2","","Rudbeckia triloba"
"RUAL4","","Rumex altissimus"
"RUAQF","","Rumex aquaticus var. fenestratus"
"RUAQF","RUOC3","Rumex occidentalis"
"RUHA2","","Rumex hastatulus"
"RUMA4","","Rumex maritimus"
"RUMA4","RUMAF2","Rumex maritimus var. fueginus"
"RUPA4","","Rumex pallidus"
"RUVE3","","Rumex verticillatus"
"RUVE3","RUFL2","Rumex floridanus"
"RUMA5","","Ruppia maritima"
"SAAN","","Sabatia angularis"
"SACA26","","Sabatia campanulata"
"SACA3","","Sabatia campestris"
"SAKE","","Sabatia kennedyana"
"SAST5","","Sabatia stellaris"
"SAST","","Sacciolepis striata"
"SADE","","Sagina decumbens"
"SANO","","Sagina nodosa"
"SACA21","","Sagittaria calycina"
"SACAS","","Sagittaria calycina var. spongiosa"
"SACAS","SAMOS2","Sagittaria montevidensis ssp. spongiosa"
"SACU","","Sagittaria cuneata"
"SAEN","","Sagittaria engelmanniana"
"SAFI2","","Sagittaria filiformis"
"SAFI2","SAST4","Sagittaria stagnorum"
"SAGR","","Sagittaria graminea"
"SALA2","","Sagittaria latifolia"
"SALA2","SALO11","Sagittaria longirostra"
"SARI","","Sagittaria rigida"
"SASU","","Sagittaria subulata"
"SASU","SASUS","Sagittaria subulata var. subulata"
"SATE2","","Sagittaria teres"
"SABI","","Salicornia bigelovii"
"SADE10","","Salicornia depressa"
"SADE10","SAVI","Salicornia virginica"
"SABE2","","Salix bebbiana"
"SACA4","","Salix candida"
"SADI","","Salix discolor"
"SAER","","Salix eriocephala"
"SAER","SACO24","Salix cordata"
"SAIN3","","Salix interior"
"SALU","","Salix lucida"
"SAMY2","","Salix myricoides"
"SAPE2","","Salix pedicellaris"
"SAPE5","","Salix petiolaris"
"SASE","","Salix sericea"
"SASE2","","Salix serissima"
"SARAR3","","Sambucus racemosa var. racemosa"
"SARAR3","SAPU11","Sambucus pubens"
"SARAR3","SARAP","Sambucus racemosa ssp. pubens"
"SARAR3","SARAP5","Sambucus racemosa var. pubens"
"SAVA3","","Samolus valerandi"
"SAVAP","","Samolus valerandi ssp. parviflorus"
"SAVAP","SAPA9","Samolus parviflorus"
"SACA13","","Sanguinaria canadensis"
"SACA14","","Sanguisorba canadensis"
"SACA15","","Sanicula canadensis"
"SAMA2","","Sanicula marilandica"
"SAOD","","Sanicula odorata"
"SAOD","SAGR6","Sanicula gregaria"
"SATR4","","Sanicula trifoliata"
"SAPU4","","Sarracenia purpurea"
"SAPUP6","","Sarracenia purpurea ssp. purpurea var. purpurea"
"SAPUP6","SAPUH","Sarracenia purpurea ssp. heterophylla"
"SAAL5","","Sassafras albidum"
"SACE","","Saururus cernuus"
"SAPE8","","Saxifraga pensylvanica"
"SAPE8","SAFO2","Saxifraga forbesii"
"SAVI5","","Saxifraga virginiensis"
"SCPA2","","Scheuchzeria palustris"
"SCPAA3","","Scheuchzeria palustris ssp. americana"
"SCPU","","Schizachne purpurascens"
"SCLI11","","Schizachyrium littorale"
"SCLI11","SCSCL","Schizachyrium scoparium var. littorale"
"SCHA10","","Schoenoplectiella hallii"
"SCHA10","SCHA","Scirpus hallii"
"SCPU14","","Schoenoplectiella purshiana"
"SCPU14","SCPU4","Scirpus purshianus"
"SCSM3","","Schoenoplectiella smithii"
"SCSM3","SCSM","Scirpus smithii"
"SCACA","","Schoenoplectus acutus var. acutus"
"SCACA","SCAC","Scirpus acutus"
"SCAM6","","Schoenoplectus americanus"
"SCAM6","SCOL","Scirpus olneyi"
"SCHE5","","Schoenoplectus heterochaetus"
"SCHE5","SCHE","Scirpus heterochaetus"
"SCSU10","","Schoenoplectus subterminalis"
"SCSU10","SCSU","Scirpus subterminalis"
"SCTO3","","Schoenoplectus torreyi"
"SCTO3","SCTO","Scirpus torreyi"
"SCAM","","Schwalbea americana"
"SCAN5","","Scirpus ancistrochaetus"
"SCEX","","Scirpus expansus"
"SCGE2","","Scirpus georgianus"
"SCHA3","","Scirpus hattorianus"
"SCLO","","Scirpus longii"
"SCMI2","","Scirpus microcarpus"
"SCPE3","","Scirpus pedicellatus"
"SCPE4","","Scirpus pendulus"
"SCPO2","","Scirpus polyphyllus"
"SCPA5","","Scleria pauciflora"
"SCPAC","","Scleria pauciflora var. caroliniana"
"SCRE","","Scleria reticularis"
"SCTR","","Scleria triglomerata"
"SCTR","SCNI3","Scleria nitida"
"SCUN3","","Sclerolepis uniflora"
"SCLA","","Scrophularia lanceolata"
"SCMA2","","Scrophularia marilandica"
"SCIN2","","Scutellaria integrifolia"
"SCPA7","","Scutellaria parvula"
"SCPAM","","Scutellaria parvula var. missouriensis"
"SCPAM","SCLE","Scutellaria leonardii"
"SEAP","","Selaginella apoda"
"SERU","","Selaginella rupestris"
"SEHE3","","Senna hebecarpa"
"SEHE3","CAHE9","Cassia hebecarpa"
"SEOB4","","Senna obtusifolia"
"SEAS3","","Sericocarpus asteroides"
"SELI5","","Sericocarpus linifolius"
"SELI5","ASSO2","Aster solidagineus"
"SEHE8","","Sesbania herbacea"
"SEHE8","SEEX","Sesbania exaltata"
"SEPA10","","Setaria parviflora"
"SEPA10","SEGE","Setaria geniculata"
"SITR3","","Sibbaldiopsis tridentata"
"SITR3","POTR7","Potentilla tridentata"
"SIAN","","Sicyos angulatus"
"SIHE3","","Sida hermaphrodita"
"SICA6","","Silene caroliniana"
"SICAP","","Silene caroliniana ssp. pensylvanica"
"SICAP","SICAP2","Silene caroliniana var. pensylvanica"
"SINI","","Silene nivea"
"SIST","","Silene stellata"
"SIPE2","","Silphium perfoliatum"
"SIAT","","Sisyrinchium atlanticum"
"SIFU2","","Sisyrinchium fuscatum"
"SIFU2","SIAR2","Sisyrinchium arenicola"
"SIMO2","","Sisyrinchium montanum"
"SIMU3","","Sisyrinchium mucronatum"
"SOCA3","","Solanum carolinense"
"SOPT7","","Solanum ptycanthum"
"SORO","","Solanum rostratum"
"SOAL6","","Solidago altissima"
"SOAR","","Solidago arguta"
"SOARA","","Solidago arguta var. arguta"
"SOARA","SOTA2","Solidago tarda"
"SOCA4","","Solidago caesia"
"SOFL2","","Solidago flexicaulis"
"SOHI","","Solidago hispida"
"SOLA4","","Solidago latissimifolia"
"SOLA4","SOEL2","Solidago elliottii"
"SOMA4","","Solidago macrophylla"
"SOOD","","Solidago odora"
"SOPA2","","Solidago patula"
"SOPU","","Solidago puberula"
"SORUA","","Solidago rugosa ssp. aspera"
"SORUS","","Solidago rugosa ssp. rugosa var. sphagnophila"
"SOSEM","","Solidago sempervirens var. mexicana"
"SOSIR","","Solidago simplex ssp. randii"
"SOSIR3","","Solidago simplex ssp. randii var. randii"
"SOSP2","","Solidago speciosa"
"SOSQ","","Solidago squarrosa"
"SOUL","","Solidago uliginosa"
"SOULL2","","Solidago uliginosa var. linoides"
"SOULL2","SOPU8","Solidago purshii"
"SOUL2","","Solidago ulmifolia"
"SOAM3","","Sorbus americana"
"SODE3","","Sorbus decora"
"SONU2","","Sorghastrum nutans"
"SPAM","","Sparganium americanum"
"SPAN","","Sparganium androcladum"
"SPAN2","","Sparganium angustifolium"
"SPEM2","","Sparganium emersum"
"SPEM2","SPCH","Sparganium chlorocarpum"
"SPEU","","Sparganium eurycarpum"
"SPFL","","Sparganium fluctuans"
"SPNA","","Sparganium natans"
"SPNA","SPMI","Sparganium minimum"
"SPAL","","Spartina alterniflora"
"SPCY","","Spartina cynosuroides"
"SPPA","","Spartina patens"
"SPPE","","Spartina pectinata"
"SPCA3","","Spergularia canadensis"
"SPNI","","Sphenopholis nitida"
"SPOB","","Sphenopholis obtusata"
"SPPE3","","Sphenopholis pensylvanica"
"SPAL2","","Spiraea alba"
"SPALL","","Spiraea alba var. latifolia"
"SPCE","","Spiranthes cernua"
"SPLA4","","Spiranthes lacera"
"SPLAG","","Spiranthes lacera var. gracilis"
"SPLU2","","Spiranthes lucida"
"SPOC","","Spiranthes ochroleuca"
"SPRO","","Spiranthes romanzoffiana"
"SPTU","","Spiranthes tuberosa"
"SPTU","SPTUG","Spiranthes tuberosa var. grayi"
"SPVE","","Spiranthes vernalis"
"SPCL","","Sporobolus clandestinus"
"SPCOC2","","Sporobolus compositus var. compositus"
"SPCOC2","SPAS","Sporobolus asper"
"SPCR","","Sporobolus cryptandrus"
"SPHE","","Sporobolus heterolepis"
"SPNE2","","Sporobolus neglectus"
"STHY3","","Stachys hyssopifolia"
"STHY3","STLY2","Stachys lythroides"
"STPIP5","","Stachys pilosa var. pilosa"
"STPIP5","STPAH","Stachys palustris var. homotricha"
"STTE","","Stachys tenuifolia"
"STTR","","Staphylea trifolia"
"STAL4","","Stellaria alsine"
"STBO3","","Stellaria borealis"
"STLO","","Stellaria longifolia"
"STPU","","Stellaria pubera"
"STAM2","","Streptopus amplexifolius"
"STAMA2","","Streptopus amplexifolius var. amplexifolius"
"STAMA2","STAMA","Streptopus amplexifolius var. americanus"
"STLAL2","","Streptopus lanceolatus var. lanceolatus"
"STLAL2","STROP2","Streptopus roseus var. perspectus"
"STPE15","","Stuckenia pectinata"
"STPE15","POPE6","Potamogeton pectinatus"
"SUCA2","","Suaeda calceoliformis"
"SUCA2","SUAM","Suaeda americana"
"SULI","","Suaeda linearis"
"SUMAR","","Suaeda maritima ssp. richii"
"SYAL","","Symphoricarpos albus"
"SYALA","","Symphoricarpos albus var. albus"
"SYBO2","","Symphyotrichum boreale"
"SYBO2","ASBO7","Aster borealis"
"SYBO2","ASJU","Aster junciformis"
"SYCI","","Symphyotrichum ciliolatum"
"SYCI","ASCI","Aster ciliolatus"
"SYCO3","","Symphyotrichum concolor"
"SYCO3","ASCO2","Aster concolor"
"SYDUD2","","Symphyotrichum dumosum var. dumosum"
"SYDUD2","ASDU","Aster dumosus"
"SYERE","","Symphyotrichum ericoides var. ericoides"
"SYERE","ASER3","Aster ericoides"
"SYLAL3","","Symphyotrichum laeve var. laeve"
"SYLAL3","ASLA5","Aster laevis"
"SYLAL7","","Symphyotrichum lateriflorum var. lateriflorum"
"SYLAL7","ASLAH3","Aster lateriflorus var. hirsuticaulis"
"SYNON","","Symphyotrichum novi-belgii var. novi-belgii"
"SYNON","ASNO2","Aster novi-belgii"
"SYPAP2","","Symphyotrichum patens var. patens"
"SYPAP2","ASPA5","Aster patens"
"SYPIP2","","Symphyotrichum pilosum var. pringlei"
"SYPIP2","ASPIP","Aster pilosus var. pringlei"
"SYPR6","","Symphyotrichum prenanthoides"
"SYPR6","ASPR4","Aster prenanthoides"
"SYPUP","","Symphyotrichum puniceum var. puniceum"
"SYPUP","ASFI5","Aster firmus"
"SYPUP","ASPUF","Aster puniceus var. firmus"
"SYSU5","","Symphyotrichum subulatum"
"SYSU5","ASSU5","Aster subulatus"
"SYTE6","","Symphyotrichum tenuifolium"
"SYTE6","ASTE2","Aster tenuifolius"
"SYTR","","Symphyotrichum tradescantii"
"SYFO","","Symplocarpus foetidus"
"TACA7","","Taxus canadensis"
"TEVI","","Tephrosia virginiana"
"TECAC","","Teucrium canadense var. canadense"
"TECAC","TECAV","Teucrium canadense var. virginicum"
"THPU2","","Thalictrum pubescens"
"THRE","","Thalictrum revolutum"
"THTH2","","Thalictrum thalictroides"
"THTH2","ANTH5","Anemonella thalictroides"
"THNO","","Thelypteris noveboracensis"
"THPA","","Thelypteris palustris"
"THSI2","","Thelypteris simulata"
"THOC2","","Thuja occidentalis"
"TICO","","Tiarella cordifolia"
"TIAMH","","Tilia americana var. heterophylla"
"TIAMH","TIHE","Tilia heterophylla"
"TIDI","","Tipularia discolor"
"TOPA6","","Torreyochloa pallida"
"TOPAP","","Torreyochloa pallida var. pallida"
"TOPAP","PUPA2","Puccinellia pallida"
"TORA2","","Toxicodendron radicans"
"TORY","","Toxicodendron rydbergii"
"TOVE","","Toxicodendron vernix"
"TRBR","","Tradescantia bracteata"
"TROH","","Tradescantia ohiensis"
"TRVI2","","Triadenum virginicum"
"TRIN13","","Trichomanes intricatum"
"TRAL7","","Trichophorum alpinum"
"TRAL7","SCHU2","Scirpus hudsonianus"
"TRPL6","","Trichophorum planifolium"
"TRPL6","SCVE","Scirpus verecundus"
"TRBR5","","Trichostema brachiatum"
"TRBR5","ISBR3","Isanthus brachiatus"
"TRDI2","","Trichostema dichotomum"
"TRBO2","","Trientalis borealis"
"TRMA20","","Triglochin maritima"
"TRMA20","TRMA4","Triglochin maritimum"
"TRCE","","Trillium cernuum"
"TRCE","TRCEM","Trillium cernuum var. macranthum"
"TRER3","","Trillium erectum"
"TRGR4","","Trillium grandiflorum"
"TRUN","","Trillium undulatum"
"TRAU4","","Triosteum aurantiacum"
"TRPE5","","Triosteum perfoliatum"
"TRTR3","","Triphora trianthophora"
"TRPU4","","Triplasis purpurea"
"TRDA3","","Tripsacum dactyloides"
"TRSP2","","Trisetum spicatum"
"TRSP2","TRSPM6","Trisetum spicatum var. molle"
"TRSP2","TRSPP","Trisetum spicatum var. pilosiglume"
"TRSP2","TRTRM","Trisetum triflorum ssp. molle"
"ULRU","","Ulmus rubra"
"ULTH","","Ulmus thomasii"
"UTCO","","Utricularia cornuta"
"UTGE","","Utricularia geminiscapa"
"UTGI","","Utricularia gibba"
"UTGI","UTBI","Utricularia biflora"
"UTGI","UTFI","Utricularia fibrosa"
"UTIN","","Utricularia inflata"
"UTIN2","","Utricularia intermedia"
"UTMA","","Utricularia macrorhiza"
"UTMI","","Utricularia minor"
"UTPU","","Utricularia purpurea"
"UTRA","","Utricularia radiata"
"UTRE","","Utricularia resupinata"
"UTST","","Utricularia striata"
"UTST","UTFI3","Utricularia fibrosa"
"UTSU","","Utricularia subulata"
"UVGR","","Uvularia grandiflora"
"UVPE","","Uvularia perfoliata"
"VAAN","","Vaccinium angustifolium"
"VACO","","Vaccinium corymbosum"
"VAMA","","Vaccinium macrocarpon"
"VAMY","","Vaccinium myrtilloides"
"VAOX","","Vaccinium oxycoccos"
"VAST","","Vaccinium stamineum"
"VAVI","","Vaccinium vitis-idaea"
"VAVIM","","Vaccinium vitis-idaea ssp. minus"
"VAVIM","VAVIM2","Vaccinium vitis-idaea var. minus"
"VAUL2","","Valeriana uliginosa"
"VAUL2","VASIU","Valeriana sitchensis ssp. uliginosa"
"VAUM","","Valerianella umbilicata"
"VAAM3","","Vallisneria americana"
"VESI","","Verbena simplex"
"VEUR","","Verbena urticifolia"
"VEAL","","Verbesina alternifolia"
"VEMI2","","Vernonia missurica"
"VENO","","Vernonia noveboracensis"
"VEAM2","","Veronica americana"
"VEAN2","","Veronica anagallis-aquatica"
"VEAN2","VECA7","Veronica catenata"
"VESC2","","Veronica scutellata"
"VEVI4","","Veronicastrum virginicum"
"VIDEV","","Viburnum dentatum var. venosum"
"VILA11","","Viburnum lantanoides"
"VILA11","VIAL3","Viburnum alnifolium"
"VINU","","Viburnum nudum"
"VINUC","","Viburnum nudum var. cassinoides"
"VINUC","VICA","Viburnum cassinoides"
"VIOPA2","","Viburnum opulus var. americanum"
"VIOPA2","VITR8","Viburnum trilobum"
"VIRA","","Viburnum rafinesqueanum"
"VIRA","VIRAR","Viburnum rafinesqueanum var. rafinesqueanum"
"VIAD","","Viola adunca"
"VIAF2","","Viola affinis"
"VIBLP","","Viola blanda var. palustriformis"
"VIBLP","VIIN","Viola incognita"
"VIBR","","Viola brittoniana"
"VIBRB","","Viola brittoniana var. brittoniana"
"VICA4","","Viola canadensis"
"VILA10","","Viola labradorica"
"VILA10","VICO2","Viola conspersa"
"VILA4","","Viola lanceolata"
"VINE","","Viola nephrophylla"
"VIPA18","","Viola ×palmata"
"VIPA18","VIPA3","Viola palmata"
"VIPE","","Viola pedata"
"VIPE","VIPEL","Viola pedata var. lineariloba"
"VIPR4","","Viola ×primulifolia"
"VIPU3","","Viola pubescens"
"VIRE2","","Viola renifolia"
"VIRE2","VIREB","Viola renifolia var. brainerdii"
"VIRO2","","Viola rotundifolia"
"VISAO","","Viola sagittata var. ovata"
"VISAO","VIFI","Viola fimbriatula"
"VISE2","","Viola selkirkii"
"VISE5","","Viola septentrionalis"
"VIST3","","Viola striata"
"VIAE","","Vitis aestivalis"
"VILA8","","Vitis labrusca"
"VINO2","","Vitis ×novae-angliae"
"VIVU","","Vitis vulpina"
"VUOC","","Vulpia octoflora"
"VUOCG","","Vulpia octoflora var. glauca"
"VUOCG","FEOCT2","Festuca octoflora var. tenella"
"WAFR","","Waldsteinia fragarioides"
"WIFR","","Wisteria frutescens"
"WIFR","WIMA","Wisteria macrostachya"
"WOBR","","Wolffia brasiliensis"
"WOBR","WOPA","Wolffia papulifera"
"WOCO","","Wolffia columbiana"
"WOGL2","","Wolffiella gladiata"
"WOGL2","WOFL","Wolffiella floridana"
"WOGL","","Woodsia glabella"
"WOIL","","Woodsia ilvensis"
"WOOB2","","Woodsia obtusa"
"WOAR","","Woodwardia areolata"
"WOVI","","Woodwardia virginica"
"XASTC","","Xanthium strumarium var. canadense"
"XASTC","XACO","Xanthium commune"
"XASI","","Xanthorhiza simplicissima"
"XYDI","","Xyris difformis"
"XYMO","","Xyris montana"
"XYSM","","Xyris smalliana"
"XYTO","","Xyris torta"
"ZAPA","","Zannichellia palustris"
"ZAAM","","Zanthoxylum americanum"
"ZIAQ","","Zizania aquatica"
"ZIAQA2","","Zizania aquatica var. aquatica"
"ZIAU","","Zizia aurea"
